outlet,nb_reviews,abs_meta_avg,abs_meta_med,sd_meta,abs_user_avg,abs_user_med,sd_user
IC-Games,16,3.125,2.0,2.695675549220764,10.375,9.5,7.265213922062676
Nintendo Power,16,6.0,3.5,7.343931735339956,7.625,5.5,9.222255689363639
DailyGame,16,5.25,4.0,6.323237567364786,7.6875,7.5,7.511934948245137
MS Xbox World,16,6.75,5.0,10.08959860450355,12.5625,10.0,13.431151601159646
Official U.S. Playstation Magazine,16,7.1875,5.5,9.19578707887476,15.5625,13.0,15.788049277855704
Game8,15,6.466666666666667,4.0,8.24505623879864,14.066666666666666,15.0,16.17169779348506
PlayGround.ru,15,7.066666666666666,2.0,13.898612469287306,30.866666666666667,35.0,21.692219364379962
Gamers Europe,15,6.133333333333334,4.0,6.534159325822879,6.2,4.0,9.030635689273538
Gamereactor Sweden,15,6.933333333333334,6.0,8.474050024015897,13.333333333333334,11.0,14.164677731529766
The Escapist,15,6.466666666666667,5.0,7.827302643099133,12.533333333333333,9.0,18.04940310317636
IGN AU,15,2.466666666666667,1.0,3.925496632214045,8.333333333333334,7.0,6.352352395166767
PSM Magazine,15,5.266666666666667,5.0,5.20713795806158,17.2,12.0,13.348087075361345
Gamereactor Denmark,14,4.928571428571429,4.5,5.6631641836899425,13.785714285714286,9.0,16.76878969074118
GamerFeed,14,5.642857142857143,4.0,7.722167320893023,7.357142857142857,5.0,10.420025099630186
XboxEra,14,7.285714285714286,5.0,8.464534933967231,23.857142857142858,20.5,15.431521899406686
SomosXbox,14,9.357142857142858,7.5,8.736999761655303,26.285714285714285,23.0,13.401656450021228
Gamervision,14,3.4285714285714284,2.0,4.1110946110615,15.5,11.0,17.149151774749868
GamingXP,14,3.0714285714285716,3.0,3.2250734722016645,7.714285714285714,6.0,8.913503769593046
Xbox World Australia,14,3.4285714285714284,3.5,4.255571654888461,7.714285714285714,8.0,4.936965300022512
Into Liquid Sky,14,6.928571428571429,4.5,8.507591955372618,14.714285714285714,9.5,15.89249598305529
GameBlast,13,4.384615384615385,3.0,5.284229075567875,15.75,13.5,15.258132456516625
Gamer's Pulse,13,6.230769230769231,4.0,8.067821489704862,7.416666666666667,6.5,6.097068346692731
BonusStage,13,4.0,4.0,4.8370896102342265,7.615384615384615,7.0,5.456118654247795
TotalPlayStation,13,4.846153846153846,6.0,5.4982514703102865,12.538461538461538,8.0,13.633010465739925
PTGamers,13,5.6923076923076925,4.0,6.983497030086772,13.538461538461538,11.0,19.358957378155228
GameNow,13,6.769230769230769,6.0,7.361542480506901,16.923076923076923,14.0,17.065860357555657
